-1,Why does it look like someone spit on my food I had a normal transaction everyone was chill and polite but now i dont want to eat this Im trying not to think about what this milky white clear substance is all over my food i d sure am not coming back 
-1,Made a mobile order got to the speaker and checked it in Line was not moving so I had to leave otherwise I d be late for work Never got the refund in the app I called them and they said I could only get my money back in person because it was stuck in the system Went there in person the next day and the manager told me she wasn 
-1,I repeat my order times in the drive thru and she still manage to mess it up it was suppose to be a large meal double filet of fish with large fries no cheese It was all wrong they either need to pay close attention to the order being made understand English or they need not to work at a drive thru
-1,I work for door dash and they locked us all out to wait in a long line for no reason at I tried to beg them to open it because I m door dash and they refused Covid is over get a new job
-1,If I could give this location a zero on customer service I would Pulled into drive through at and placed a simple order I order a regular hamburg and cookies Once I paid and pulled up to the window to pick up I was told to pull up to the space I sat there and sat there and minutes later no order I went in and no one was at the counter I yelled hello three times A young lady came up asking who was handling the front counter A young girl appeared To make this complaint shorter I showed my receipt and another minutes later I got my order There was another order with a drink sitting on the counter that never got to the person who ordered it After getting home I had no regular hamburg but had cookies Everyone don t even bother going to this location again It s a horrible experience every time as you can see by other reviews 
-1,Came in and ordered a Large coffee w no ice They handed me a cup that was less than half way full I asked the employee Flor if they could give me a Large coffee w no ice and she said no I was willing to pay more to get a full cup of coffee I always get a large sweet tea w no ice and it 
-1,Went thru drive thru Ordered Getting home noticed my piece nuggets where missing Tried calling the restaurant and nothing The lady gave me a hard time about extra sauce Very unhappy 
-1,Worst McDonald 
-1,The morning crew seems fast and efficient Night crew is a whole different experience lines down the street hour long waits If this was a one time occurrence it wouldn t be so bad but this is a nightly problem Beyond this the staff is so highly rude you leave wanting to crash your car through the building Don t forget they will mistake your order almost every single time as well and serve it to you cold 
-1,Ordered food burger wrong and left out part of the order also One of the drink cup lid not fattened Poor service girl handing order at window on January at pm 
-1,The boy who attended me made me wait and when he saw that the drink was wrong he threw the bag of food at me with a grimace So disappointed 
-1,I am not happy at all today I went and bought Strawberry Banana smoothies and and hash browns and my smoothies tasted like straight ice and water smh And I am very disappointed in there service my smoothie should never taste like that never especially the fact I bought it for not only me but my kids I need someone to contact me from corporate or something I am not happy at all waste of money 
-1,Can t believe experience with order taker Went from drive thru and employee directly asks what do you want He keeps rushing while taking order with no other cars placing order We wanted to add one more item and asked for a minute He keeps asking what else When I said we are ready no response There were no other car placing order that time either I told again we are ready responded after a pause Again what do you want excuse me who talks to customers like this I asked for his name to put a review and he flat out denied I asked for receipt before handing my credit card He swipes it and returns back my card I m waiting for a receipt with my family in the car He starts inputing another order on his tablet Waited for sometime and then I waive my hand several times He opens window and said you can get receipt from next window Excuse me Went to next window picked up food asked for Manager and got his name JAMAR My receipt states pm Order I didn t want to complain but this was intolerable 
